"identifiant","Prénom","Nom","Région","Département","Numéro de circonscription","Profession","Groupe politique (complet)","Groupe politique (abrégé)"
"607846","Gérald","Darmanin","Hauts-de-France","Nord","10","Cadre supérieur du secteur privé","Non inscrit","NI"
"687214","Sylvain","Berrios","Ile-de-France","Val-de-Marne","1","(33) - Cadre de la fonction publique","Non inscrit","NI"
"841367","Christophe","Proença","Occitanie","Lot","2","(34) - Professeur, profession scientifique","Non inscrit","NI"
"607395","Stéphane","Travert","Normandie","Manche","3","Cadre secteur privé","Non inscrit","NI"
"793342","Alexandra","Martin","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","8","Employé civil et agent de service de la fonction publique","Non inscrit","NI"
"721486","Christophe","Naegelen","Grand Est","Vosges","3","Industriel-Chef d'entreprise","Non inscrit","NI"
"1592","David","Habib","Nouvelle-Aquitaine","Pyrénées-Atlantiques","3","Cadre","Non inscrit","NI"
"841419","Damien","Girard","Bretagne","Morbihan","5","(38) - Ingénieur et cadre technique d'entreprise","Non inscrit","NI"
"842037","Bérenger","Cernon","Ile-de-France","Essonne","8","(65) - Ouvrier qualifié de la manutention, du magasinage et du transport","Non inscrit","NI"
"720138","Laetitia","Saint-Paul","Pays de la Loire","Maine-et-Loire","4","Officier de l'armée de Terre","Non inscrit","NI"
"840829","Fabrice","Barusseau","Nouvelle-Aquitaine","Charente-Maritime","3","(34) - Professeur, profession scientifique","Non inscrit","NI"
"643143","Christian","Baptiste","Guadeloupe","Guadeloupe","2","Directeur d'association","Non inscrit","NI"
"841955","Matthias","Renault","Hauts-de-France","Somme","3","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"643192","Chantal","Jourdan","Normandie","Orne","1","Psychologue","Non inscrit","NI"
"718884","Valérie","Bazin-Malgras","Grand Est","Aube","2","Commerçante","Non inscrit","NI"
"794426","Anne","Le Hénanff","Bretagne","Morbihan","1","Consultante indépendante","Non inscrit","NI"
"793892","Stéphanie","Galzy","Occitanie","Hérault","5","Employé administratif d'entreprise","Non inscrit","NI"
"793174","Yannick","Monnet","Auvergne-Rhône-Alpes","Allier","1","Cadre de la fonction publique","Non inscrit","NI"
"795920","Prisca","Thevenot","Ile-de-France","Hauts-de-Seine","8","Collaboratrice parlementaire","Non inscrit","NI"
"720038","Sandrine","Josso","Pays de la Loire","Loire-Atlantique","7","Autre profession libérale","Non inscrit","NI"
"267042","Yannick","Favennec-Bécot","Pays de la Loire","Mayenne","3","Directeur de cabinet","Non inscrit","NI"
